id,title,short_title,api_uri,first_name,middle_name,last_name,suffix,date_of_birth,gender,party,leadership_role,twitter_account,facebook_account,youtube_account,govtrack_id,cspan_id,votesmart_id,icpsr_id,crp_id,google_entity_id,fec_candidate_id,url,rss_url,contact_form,in_office,dw_nominate,seniority,next_election,total_votes,missed_votes,total_present,last_updated,ocd_id,office,phone,fax,state,missed_votes_pct,votes_with_party_pct,congress,chamber
B001301,Representative,Rep.,https://api.propublica.org/congress/v1/members/B001301.json,Jack,,Bergman,,1947-02-02,M,R,,RepJackBergman,RepJackBergman,,412709,1020529,170172,21704,N00039533,/m/05b2l3v,H6MI01226,https://bergman.house.gov,,,True,0.431,2,2018,1132.0,12.0,0.0,2018-11-17 13:30:22 -0500,ocd-division/country:us/state:mi/cd:1,414 Cannon House Office Building,202-225-4735,,MI,1.06,93.13,115,house
B001292,Representative,Rep.,https://api.propublica.org/congress/v1/members/B001292.json,Donald,,Beyer,,1950-06-20,M,D,,repdonbeyer,repdonbeyer,,412657,21141,1707,21554,N00036018,/m/053g16,H4VA08224,https://beyer.house.gov,,,True,-0.393,4,2018,1132.0,50.0,1.0,2018-11-17 13:30:22 -0500,ocd-division/country:us/state:va/cd:8,1119 Longworth House Office Building,202-225-4376,202-225-0017,VA,4.42,94.09,115,house
B001302,Representative,Rep.,https://api.propublica.org/congress/v1/members/B001302.json,Andy,,Biggs,,1958-11-07,M,R,,RepAndyBiggsAZ,RepAndyBiggs,,412683,105145,28088,21705,N00039293,/m/0_1m23v,H6AZ05083,https://biggs.house.gov,https://biggs.house.gov/rss.xml,,True,0.895,2,2018,1132.0,4.0,0.0,2018-11-17 13:30:21 -0500,ocd-division/country:us/state:az/cd:5,1626 Longworth House Office Building,202-225-2635,,AZ,0.35,86.97,115,house
B001257,Representative,Rep.,https://api.propublica.org/congress/v1/members/B001257.json,Gus,,Bilirakis,,1963-02-08,M,R,,RepGusBilirakis,GusBilirakis,RepGusBilirakis,412250,1022873,17318,20758,N00027462,/m/0dy3z1,H6FL09070,https://bilirakis.house.gov,,,True,0.404,14,2018,1132.0,52.0,0.0,2018-11-17 13:30:24 -0500,ocd-division/country:us/state:fl/cd:12,2112 Rayburn House Office Building,202-225-5755,202-225-4085,FL,4.59,97.78,115,house
B000490,Representative,Rep.,https://api.propublica.org/congress/v1/members/B000490.json,Sanford,D.,Bishop,Jr.,1947-02-04,M,D,,SanfordBishop,sanfordbishop,RepSanfordBishop,400030,26194,26817,29339,N00002674,/m/02554k,H2GA02031,https://bishop.house.gov,https://bishop.house.gov/rss.xml,,True,-0.282,26,2018,1132.0,42.0,1.0,2018-11-17 13:30:21 -0500,ocd-division/country:us/state:ga/cd:2,2407 Rayburn House Office Building,202-225-3631,202-225-2203,GA,3.71,90.46,115,house
B001293,Representative,Rep.,https://api.propublica.org/congress/v1/members/B001293.json,Mike,,Bishop,,1967-03-18,M,R,,RepMikeBishop,RepMikeBishop,,412635,78290,20157,21527,N00036449,/m/027qc0m,H4MI08135,https://mikebishop.house.gov,,,True,0.45,4,2018,1132.0,16.0,0.0,2018-11-17 13:30:23 -0500,ocd-division/country:us/state:mi/cd:8,428 Cannon House Office Building,202-225-4872,202-225-5820,MI,1.41,94.8,115,house
B001250,Representative,Rep.,https://api.propublica.org/congress/v1/members/B001250.json,Rob,,Bishop,,1951-07-13,M,R,,RepRobBishop,RepRobBishop,CongressmanBishop,400029,1003621,50544,20357,N00025292,/m/02tn41,H2UT01094,https://robbishop.house.gov,,,True,0.531,16,2018,1132.0,30.0,0.0,2018-11-17 13:30:24 -0500,ocd-division/country:us/state:ut/cd:1,123 Cannon House Office Building,202-225-0453,202-225-5857,UT,2.65,96.55,115,house
B001273,Representative,Rep.,https://api.propublica.org/congress/v1/members/B001273.json,Diane,,Black,,1951-01-16,F,R,,RepDianeBlack,DianeBlackTN06,RepDianeBlack,412478,9268964,25292,21180,N00031539,/m/0cyvxl,H0TN06257,https://black.house.gov,https://black.house.gov/rss.xml,,True,0.58,8,2018,1132.0,247.0,0.0,2018-11-17 13:30:24 -0500,ocd-division/country:us/state:tn/cd:6,1131 Longworth House Office Building,202-225-4231,202-225-6887,TN,21.82,97.74,115,house
B001243,Representative,Rep.,https://api.propublica.org/congress/v1/members/B001243.json,Marsha,,Blackburn,,1952-06-06,F,R,,MarshaBlackburn,marshablackburn,RepMarshaBlackburn,400032,31226,25186,20351,N00003105,/m/01fnkt,H2TN06030,https://blackburn.house.gov,https://blackburn.house.gov/news/rss.aspx,,True,0.615,16,2018,1132.0,153.0,0.0,2018-11-17 13:30:23 -0500,ocd-division/country:us/state:tn/cd:7,2266 Rayburn House Office Building,202-225-2811,202-225-3004,TN,13.52,95.91,115,house
B001294,Representative,Rep.,https://api.propublica.org/congress/v1/members/B001294.json,Rod,,Blum,,1955-04-26,M,R,,RepRodBlum,congressmanrodblum,,412627,623771,135714,21520,N00033744,/m/0127p02j,H2IA01055,https://blum.house.gov,,,True,0.515,4,2018,1132.0,40.0,2.0,2018-11-17 13:30:21 -0500,ocd-division/country:us/state:ia/cd:1,1108 Longworth House Office Building,202-225-2911,,IA,3.53,90.11,115,house
B000574,Representative,Rep.,https://api.propublica.org/congress/v1/members/B000574.json,Earl,,Blumenauer,,1948-08-16,M,D,,BlumenauerMedia,,RepBlumenauer,400033,43809,367,29588,N00007727,/m/033tw8,H6OR03064,https://blumenauer.house.gov,,,True,-0.427,24,2018,1132.0,50.0,2.0,2018-11-17 13:30:21 -0500,ocd-division/country:us/state:or/cd:3,1111 Longworth House Office Building,202-225-4811,202-225-8941,OR,4.42,91.96,115,house
B001303,Representative,Rep.,https://api.propublica.org/congress/v1/members/B001303.json,Lisa,,Blunt Rochester,,1962-02-10,F,D,,RepLBR,Rep.BluntRochester,,412689,104772,173249,21706,N00038414,/g/11c328y56v,H6DE00206,https://bluntrochester.house.gov,,,True,-0.326,2,2018,1132.0,19.0,2.0,2018-11-17 13:30:23 -0500,ocd-division/country:us/state:de/cd:1,1123 Longworth House Office Building,202-225-4165,,DE,1.68,94.88,115,house
B001278,Representative,Rep.,https://api.propublica.org/congress/v1/members/B001278.json,Suzanne,,Bonamici,,1954-10-14,F,D,,RepBonamici,congresswomanbonamici,RepSuzanneBonamici,412501,63966,59641,21198,N00033474,/m/02q453x,H2OR01133,https://bonamici.house.gov,https://bonamici.house.gov/rss.xml,,True,-0.393,8,2018,1132.0,7.0,2.0,2018-11-17 13:30:22 -0500,ocd-division/country:us/state:or/cd:1,439 Cannon House Office Building,202-225-0855,202-225-9497,OR,0.62,93.07,115,house
B001245,Delegate,Del.,https://api.propublica.org/congress/v1/members/B001245.json,Madeleine,Z.,Bordallo,,1933-05-31,F,D,,,madeleine.bordallo,,400041,1003568,1751,,N00024866,/m/01s_xp,H2GU00033,https://bordallo.house.gov,,https://bordallo.house.gov/contact,True,,16,2018,0.0,,,2018-11-17 13:30:24 -0500,ocd-division/country:us/state:gu/cd:79,2441 Rayburn House Office Building,202-225-1188,202-226-0341,GU,,,115,house
B001295,Representative,Rep.,https://api.propublica.org/congress/v1/members/B001295.json,Mike,,Bost,,1960-12-30,M,R,,RepBost,RepBost,,412629,76176,6302,21519,N00035420,/m/0kry42,H4IL12060,https://bost.house.gov,https://bost.house.gov/rss.xml,,True,0.259,4,2018,1132.0,7.0,0.0,2018-11-17 13:30:21 -0500,ocd-division/country:us/state:il/cd:12,1440 Longworth House Office Building,202-225-5661,202-225-0285,IL,0.62,92.36,115,house
B001296,Representative,Rep.,https://api.propublica.org/congress/v1/members/B001296.json,Brendan,,Boyle,,1977-02-06,M,D,,RepBrendanBoyle,CongressmanBoyle,,412652,76428,47357,21548,N00035307,/m/04f4fjk,H4PA13199,https://boyle.house.gov,https://boyle.house.gov/rss.xml,,True,-0.395,4,2018,1132.0,61.0,2.0,2018-11-17 13:30:22 -0500,ocd-division/country:us/state:pa/cd:13,1133 Longworth House Office Building,202-225-6111,202-226-0611,PA,5.39,93.84,115,house
B000755,Representative,Rep.,https://api.propublica.org/congress/v1/members/B000755.json,Kevin,,Brady,,1955-04-11,M,R,,RepKevinBrady,kevinbrady,KBrady8,400046,45749,361,29760,N00005883,/m/03tq00,H6TX08100,https://kevinbrady.house.gov,,,True,0.518,22,2018,1132.0,49.0,0.0,2018-11-17 13:30:24 -0500,ocd-division/country:us/state:tx/cd:8,1011 Longworth House Office Building,202-225-4901,202-225-5524,TX,4.33,97.69,115,house
B001227,Representative,Rep.,https://api.propublica.org/congress/v1/members/B001227.json,Robert,A.,Brady,,1945-04-07,M,D,,RepBrady,RepRobertBrady,BradyPA01,400047,55227,2519,29777,N00001619,/m/03tq5z,H8PA01153,https://brady.house.gov,https://brady.house.gov/rss.xml,,True,-0.484,22,2018,1132.0,68.0,1.0,2018-11-17 13:30:23 -0500,ocd-division/country:us/state:pa/cd:1,2004 Rayburn House Office Building,202-225-4731,202-225-0088,PA,6.01,94.74,115,house
B001290,Representative,Rep.,https://api.propublica.org/congress/v1/members/B001290.json,David,A.,Brat,,1964-07-27,M,R,,RepDaveBrat,RepDaveBrat,,412605,75248,152270,21553,N00036013,/m/010qykqw,H4VA07143,https://brat.house.gov,,,True,0.824,6,2018,1132.0,12.0,0.0,2018-11-17 13:30:23 -0500,ocd-division/country:us/state:va/cd:7,1628 Longworth House Office Building,202-225-2815,,VA,1.06,95.36,115,house
B001283,Representative,Rep.,https://api.propublica.org/congress/v1/members/B001283.json,Jim,,Bridenstine,,1975-06-15,M,R,,RepJBridenstine,CongressmanJimBridenstine,RepJimBridenstine,412567,79705,135894,21354,N00033532,/m/0jwyd6r,H2OK01143,https://bridenstine.house.gov,,,False,0.689,6,2018,859.0,328.0,0.0,2018-11-16 11:31:42 -0500,ocd-division/country:us/state:ok/cd:1,216 Cannon House Office Building,202-225-2211,918-935-2716,OK,38.18,96.61,115,house
B001284,Representative,Rep.,https://api.propublica.org/congress/v1/members/B001284.json,Susan,,Brooks,,1960-08-25,F,R,,SusanWBrooks,congresswomansusanwbrooks,SusanWBrooks,412539,623720,135988,21331,N00033495,/m/0jt8ng2,H2IN05082,https://susanwbrooks.house.gov,https://susanwbrooks.house.gov/rss.xml,,True,0.376,6,2018,1132.0,14.0,0.0,2018-11-17 13:30:24 -0500,ocd-division/country:us/state:in/cd:5,1030 Longworth House Office Building,202-225-2276,202-225-0016,IN,1.24,96.69,115,house
B001274,Representative,Rep.,https://api.propublica.org/congress/v1/members/B001274.json,Mo,,Brooks,,1954-04-29,M,R,,RepMoBrooks,155220881193244,RepMoBrooks,412395,94888,121610,21193,N00030910,/m/0c3xdjf,H0AL05163,https://brooks.house.gov,,,True,0.601,8,2018,1132.0,76.0,0.0,2018-11-17 13:30:21 -0500,ocd-division/country:us/state:al/cd:5,2400 Rayburn House Office Building,202-225-4801,202-225-4392,AL,6.71,91.67,115,house
B001304,Representative,Rep.,https://api.propublica.org/congress/v1/members/B001304.json,Anthony,,Brown,,1961-11-21,M,D,,RepAnthonyBrown,,,412707,1029537,19344,21707,N00036999,/m/09v6fg,H6MD04209,https://anthonybrown.house.gov,https://anthonybrown.house.gov/rss.xml,,True,-0.342,2,2018,1132.0,53.0,0.0,2018-11-17 13:30:22 -0500,ocd-division/country:us/state:md/cd:4,1505 Longworth House Office Building,202-225-8699,,MD,4.68,94.16,115,house
B001285,Representative,Rep.,https://api.propublica.org/congress/v1/members/B001285.json,Julia,,Brownley,,1952-08-28,F,D,,JuliaBrownley26,RepJuliaBrownley,RepJuliaBrownley,412516,79783,59904,21308,N00034254,/m/027z42z,H2CA00120,https://juliabrownley.house.gov,https://juliabrownley.house.gov/category/press-releases/feed/,,True,-0.283,6,2018,1132.0,28.0,2.0,2018-11-17 13:30:22 -0500,ocd-division/country:us/state:ca/cd:26,1019 Longworth House Office Building,202-225-5811,202-225-1100,CA,2.47,93.39,115,house
B001260,Representative,Rep.,https://api.propublica.org/congress/v1/members/B001260.json,Vern,,Buchanan,,1951-05-08,M,R,,VernBuchanan,CongressmanBuchanan,vernbuchanan,412196,1021626,66247,20709,N00027626,/m/0gtjsp,H6FL13148,https://buchanan.house.gov,https://buchanan.house.gov/rss.xml,,True,0.359,12,2018,1132.0,70.0,1.0,2018-11-17 13:30:23 -0500,ocd-division/country:us/state:fl/cd:16,2104 Rayburn House Office Building,202-225-5015,202-226-0828,FL,6.18,95.1,115,house
B001297,Representative,Rep.,https://api.propublica.org/congress/v1/members/B001297.json,Ken,,Buck,,1959-02-16,M,R,,RepKenBuck,repkenbuck,,412619,78285,125319,21510,N00030829,/m/05zzjd2,S0CO00237,https://buck.house.gov,https://buck.house.gov/rss.xml,,True,0.763,4,2018,1132.0,27.0,0.0,2018-11-17 13:30:21 -0500,ocd-division/country:us/state:co/cd:4,1130 Longworth House Office Building,202-225-4676,202-225-5870,CO,2.39,91.31,115,house
B001275,Representative,Rep.,https://api.propublica.org/congress/v1/members/B001275.json,Larry,,Bucshon,,1962-05-31,M,R,,RepLarryBucshon,RepLarryBucshon,RepLarryBucshon,412427,61837,120335,21132,N00031227,/m/0dd9k_y,H0IN08114,https://bucshon.house.gov,,,True,0.39,8,2018,1132.0,13.0,0.0,2018-11-17 13:30:23 -0500,ocd-division/country:us/state:in/cd:8,1005 Longworth House Office Building,202-225-4636,202-225-3284,IN,1.15,95.53,115,house
B001305,Representative,Rep.,https://api.propublica.org/congress/v1/members/B001305.json,Ted,,Budd,,1971-10-21,M,R,,RepTedBudd,RepTedBudd,,412712,103513,171489,21708,N00039551,/g/11c2nmnsj0,H6NC13129,https://budd.house.gov,,,True,0.728,2,2018,1132.0,5.0,0.0,2018-11-17 13:30:23 -0500,ocd-division/country:us/state:nc/cd:13,118 Cannon House Office Building,202-225-4531,,NC,0.44,95.56,115,house
B001248,Representative,Rep.,https://api.propublica.org/congress/v1/members/B001248.json,Michael,C.,Burgess,,1950-12-23,M,R,,MichaelCBurgess,michaelcburgess,michaelcburgessmd,400052,1003620,50120,20355,N00025219,/m/03tq8_,H2TX26093,https://burgess.house.gov,https://burgess.house.gov/news/rss.aspx,,True,0.569,16,2018,1132.0,20.0,0.0,2018-11-17 13:30:22 -0500,ocd-division/country:us/state:tx/cd:26,2336 Rayburn House Office Building,202-225-7772,202-225-2919,TX,1.77,93.97,115,house
B001286,Representative,Rep.,https://api.propublica.org/congress/v1/members/B001286.json,Cheri,,Bustos,,1961-10-17,F,D,,RepCheri,RepCheri,RepCheri,412537,63949,134964,21329,N00033390,/m/0jwwtrm,H2IL17071,https://bustos.house.gov,https://bustos.house.gov/category/press-release/feed/,,True,-0.235,6,2018,1132.0,9.0,1.0,2018-11-17 13:30:21 -0500,ocd-division/country:us/state:il/cd:17,1009 Longworth House Office Building,202-225-5905,309-786-3720,IL,0.8,91.18,115,house
B001251,Representative,Rep.,https://api.propublica.org/congress/v1/members/B001251.json,G.,K.,Butterfield,,1947-04-27,M,D,,GKButterfield,congressmangkbutterfield,GKBNC01,400616,1013540,41077,20340,N00027035,/m/03g_pq,H4NC01046,https://butterfield.house.gov,,,True,-0.403,16,2018,1132.0,84.0,2.0,2018-11-17 13:30:23 -0500,ocd-division/country:us/state:nc/cd:1,2080 Rayburn House Office Building,202-225-3101,202-225-3354,NC,7.42,94.56,115,house
B001289,Representative,Rep.,https://api.propublica.org/congress/v1/members/B001289.json,Bradley,,Byrne,,1955-02-16,M,R,,RepByrne,RepByrne,,412601,73486,27584,21376,N00035380,/m/09g6kty,H4AL01123,https://byrne.house.gov,https://byrne.house.gov/rss.xml,,True,0.544,6,2018,1132.0,8.0,0.0,2018-11-17 13:30:24 -0500,ocd-division/country:us/state:al/cd:1,119 Cannon House Office Building,202-225-4931,202-225-0562,AL,0.71,97.69,115,house
C000059,Representative,Rep.,https://api.propublica.org/congress/v1/members/C000059.json,Ken,,Calvert,,1953-06-08,M,R,,KenCalvert,RepKenCalvert,RepKenCalvert,400057,26709,26777,29323,N00007099,/m/024xl1,H2CA37023,https://calvert.house.gov,,,True,0.349,26,2018,1132.0,12.0,0.0,2018-11-17 13:30:24 -0500,ocd-division/country:us/state:ca/cd:42,2205 Rayburn House Office Building,202-225-1986,202-225-2004,CA,1.06,97.05,115,house
C001037,Representative,Rep.,https://api.propublica.org/congress/v1/members/C001037.json,Michael,E.,Capuano,,1952-01-09,M,D,,RepMikeCapuano,RepMichaelCapuano,RepMikeCapuano,400063,56760,18883,29919,N00000267,/m/028vsm,H8MA08071,http://capuano.house.gov,,http://capuano.house.gov/contact/email.shtml,True,-0.58,20,2018,1132.0,40.0,2.0,2018-11-17 13:30:22 -0500,ocd-division/country:us/state:ma/cd:7,1414 Longworth HOB,202-225-5111,202-225-9322,MA,3.53,93.59,115,house
C001112,Representative,Rep.,https://api.propublica.org/congress/v1/members/C001112.json,Salud,,Carbajal,,1964-11-18,M,D,,RepCarbajal,repsaludcarbajal,,412686,104728,81569,21709,N00037015,/g/11c2q53dct,H6CA24303,https://carbajal.house.gov,,,True,-0.294,2,2018,1132.0,28.0,1.0,2018-11-17 13:30:21 -0500,ocd-division/country:us/state:ca/cd:24,212 Cannon House Office Building,202-225-3601,,CA,2.47,92.21,115,house
C001097,Representative,Rep.,https://api.propublica.org/congress/v1/members/C001097.json,Tony,,Cárdenas,,1963-03-31,M,D,,RepCardenas,repcardenas,repcardenas,412517,63934,9754,21309,N00033373,/m/0cgzsw,H2CA28113,https://cardenas.house.gov,https://cardenas.house.gov/rss.xml,,True,-0.379,6,2018,1132.0,71.0,1.0,2018-11-17 13:30:22 -0500,ocd-division/country:us/state:ca/cd:29,1510 Longworth House Office Building,202-225-6131,202-225-0819,CA,6.27,93.87,115,house
